Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%
Arsenal,1,9,9,810,9.0,10,1.11,39,29,76.9,5,3,1,3,33.3
Aston Villa,1,9,9,810,9.0,11,1.22,32,20,68.8,5,3,1,1,11.1
Bournemouth,3,9,9,810,9.0,11,1.22,50,39,78.0,3,3,3,1,11.1
Brentford,1,9,9,810,9.0,18,2.00,61,44,70.5,4,1,4,0,0.0
Brighton,2,9,9,810,9.0,12,1.33,37,25,73.0,4,4,1,3,33.3
Chelsea,1,9,9,810,9.0,11,1.22,47,35,78.7,5,2,2,2,22.2
Crystal Palace,1,9,9,810,9.0,11,1.22,40,29,72.5,1,3,5,2,22.2
Everton,1,9,9,810,9.0,16,1.78,39,22,59.0,2,3,4,2,22.2
Fulham,1,9,9,810,9.0,12,1.33,39,28,69.2,3,3,3,1,11.1
Ipswich Town,2,9,9,810,9.0,20,2.22,55,35,67.3,0,4,5,1,11.1
Leicester City,1,9,9,810,9.0,17,1.89,56,40,71.4,2,3,4,1,11.1
Liverpool,3,9,9,810,9.0,5,0.56,29,24,82.8,7,1,1,5,55.6
Manchester City,1,9,9,810,9.0,9,1.00,26,18,69.2,7,2,0,2,22.2
Manchester Utd,1,9,9,810,9.0,11,1.22,32,20,68.8,3,2,4,4,44.4
Newcastle Utd,1,9,9,810,9.0,10,1.11,49,40,79.6,3,3,3,2,22.2
Nott'ham Forest,1,9,9,810,9.0,7,0.78,33,26,81.8,4,4,1,3,33.3
Southampton,2,9,9,810,9.0,19,2.11,55,36,67.3,0,1,8,0,0.0
Tottenham,1,9,9,810,9.0,10,1.11,32,22,68.8,4,1,4,2,22.2
West Ham,2,9,9,810,9.0,16,1.78,40,25,60.0,3,2,4,1,11.1
Wolves,2,9,9,810,9.0,25,2.78,59,34,61.0,0,2,7,0,0.0